ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"大类\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_0\" Required=\"TRUE\" Title=\"大类\" Type=\"Choice\" ID=\"{2cd4c2c9-f15e-4443-a014-61a8b4b2bf7b}\" StaticName=\"field_0\"><CHOICES><CHOICE>1. 公告已知问题</CHOICE><CHOICE>2. 用户反馈问题</CHOICE><CHOICE>3. 搁置 (未做出更改)</CHOICE><CHOICE>4. 归档 (已做出更改)</CHOICE></CHOICES></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"日期\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_2\" Required=\"TRUE\" Title=\"日期\" Type=\"Text\" ID=\"{53cf993d-8ac5-4e8f-8864-97b1dc000039}\" StaticName=\"field_2\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"起始版本\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_3\" Required=\"TRUE\" Title=\"起始版本\" Type=\"Text\" ID=\"{8430bb90-3db9-4c3a-bbec-5af0f5e7e489}\" StaticName=\"field_3\" CustomFormatter=\"{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;box-sizing&quot;:&quot;border-box&quot;,&quot;padding&quot;:&quot;0 2px&quot;,&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;},&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_3]&quot;,&quot;ALL&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-GrayText sp-field-bold sp-css-color-GrayText&quot;,&quot;&quot;]}},&quot;children&quot;:[{&quot;elmType&quot;:&quot;span&quot;,&quot;style&quot;:{&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;padding&quot;:&quot;0 3px&quot;},&quot;txtContent&quot;:&quot;[$field_3]&quot;,&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_3]&quot;,&quot;ALL&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-GrayText sp-field-bold&quot;,&quot;&quot;]}}}],&quot;templateId&quot;:&quot;ConditionalColumn&quot;}\" />","<Field Type=\"Text\" DisplayName=\"修复版本\" Name=\"field_4\" ID=\"{dc2613f4-9f99-4266-b699-fadaf8a3fd72}\" StaticName=\"field_4\" CustomFormatter=\"{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;box-sizing&quot;:&quot;border-box&quot;,&quot;padding&quot;:&quot;0 2px&quot;,&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;},&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_4]&quot;,&quot;未修复&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-GrayText sp-field-bold sp-css-color-GrayText&quot;,&quot;&quot;]}},&quot;children&quot;:[{&quot;elmType&quot;:&quot;span&quot;,&quot;style&quot;:{&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;padding&quot;:&quot;0 3px&quot;},&quot;txtContent&quot;:&quot;[$field_4]&quot;,&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_4]&quot;,&quot;未修复&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-GrayText sp-field-bold&quot;,&quot;&quot;]}}}],&quot;templateId&quot;:&quot;ConditionalColumn&quot;}\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"问题\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_5\" Required=\"TRUE\" Title=\"问题\" Type=\"Text\" ID=\"{80c67422-71dc-4d11-84a7-9b8a56722c8d}\" StaticName=\"field_5\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CustomFormatter=\"{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;box-sizing&quot;:&quot;border-box&quot;,&quot;padding&quot;:&quot;0 2px&quot;,&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;},&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在调查&quot;]},&quot;sp-css-color-DarkRedText&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在处理&quot;]},&quot;sp-css-color-BrownText&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;已修复&quot;]},&quot;sp-css-color-GreenText&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;搁置&quot;]},&quot;sp-css-color-BlueText&quot;,&quot;&quot;]}]}]}]}},&quot;children&quot;:[{&quot;elmType&quot;:&quot;span&quot;,&quot;style&quot;:{&quot;line-height&quot;:&quot;15px&quot;,&quot;height&quot;:&quot;14px&quot;,&quot;display&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在调查&quot;]},&quot;inherit&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在处理&quot;]},&quot;inherit&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;已修复&quot;]},&quot;inherit&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;搁置&quot;]},&quot;inherit&quot;,&quot;none&quot;]}]}]}]}},&quot;attributes&quot;:{&quot;iconName&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在调查&quot;]},&quot;Error&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在处理&quot;]},&quot;Warning&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;已修复&quot;]},&quot;Accept&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;搁置&quot;]},&quot;ErrorBadge&quot;,&quot;&quot;]}]}]}]},&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在调查&quot;]},&quot;sp-css-color-DarkRedText&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在处理&quot;]},&quot;sp-css-color-BrownText&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;已修复&quot;]},&quot;sp-css-color-GreenText&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;搁置&quot;]},&quot;sp-css-color-BlueText&quot;,&quot;&quot;]}]}]}]}}},{&quot;elmType&quot;:&quot;span&quot;,&quot;style&quot;:{&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;padding&quot;:&quot;0 3px&quot;},&quot;txtContent&quot;:&quot;[$field_6]&quot;,&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在调查&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-DarkRedText sp-field-bold&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;正在处理&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-BrownText sp-field-bold&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;已修复&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-GreenText sp-field-bold&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;[$field_6]&quot;,&quot;搁置&quot;]},&quot;sp-field-fontSizeMedium sp-css-color-BlueText sp-field-bold&quot;,&quot;&quot;]}]}]}]}}}],&quot;templateId&quot;:&quot;ConditionalColumn&quot;}\" DisplayName=\"状态\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_6\" Required=\"TRUE\" Title=\"状态\" Type=\"Choice\" ID=\"{3c16622a-d564-45da-85fa-4018ea3239a1}\" StaticName=\"field_6\"><CHOICES><CHOICE>正在处理</CHOICE><CHOICE>正在调查</CHOICE><CHOICE>已修复</CHOICE><CHOICE>搁置</CHOICE></CHOICES></Field>","<Field Type=\"Text\" DisplayName=\"Microsoft 官方回复\" Name=\"field_7\" ID=\"{b1c7a3fa-6f47-4306-b3d4-6aa0b3da5eed}\" StaticName=\"field_7\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"典型反馈\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_8\" Title=\"典型反馈\" Type=\"Text\" ID=\"{6df300c0-671c-4936-841f-f6c71a34ca8d}\" StaticName=\"field_8\" />","<Field Type=\"Text\" DisplayName=\"图像等补充信息\" Name=\"field_9\" ID=\"{146a1502-1892-4581-bc7b-1739f2634b25}\" StaticName=\"field_9\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"编号\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"编号","大类","问题","状态","日期","起始版本","典型反馈","修复版本"
"LG443","1. 公告已知问题","“设置”>“系统”>“存储”>“临时文件” 扫描时卡住","正在处理","2025 年 8 月 16 日","Canary 27924","aka.ms/AAxl4nc","未修复"
"LG477","1. 公告已知问题","安装 Canary 27938 版本时可能回滚并显示 0xC1900101 错误","正在处理","2025 年 9 月 9 日","Canary 27938",,"未修复"
"LG478","1. 公告已知问题","PIX on Windows 无法播放 GPU 捕获内容","正在处理","2025 年 9 月 9 日","Canary 27938",,"未修复"
"LG479","1. 公告已知问题","使用浏览器时 (可能还有其他场景) 屏幕闪烁","正在处理","2025 年 9 月 9 日","Canary 27938",,"未修复"
"LG480","1. 公告已知问题","音频停止工作","正在处理","2025 年 9 月 9 日","Canary 27938",,"未修复"
"LG400","2. 用户反馈问题","玩 “守望先锋 2” (Overwatch 2) 游戏时电脑自动重启","正在调查","2025 年 6 月 14 日","Canary 27871","aka.ms/AAwp98m","未修复"
"LG403","2. 用户反馈问题","点击设置菜单 “相关支持” 中的 “更改隐私设置” 时，打开的链接有误","正在调查","2025 年 6 月 14 日","Canary 27871","aka.ms/AAwoi47","未修复"
"LG410","2. 用户反馈问题","玩 NBA2K 游戏时电脑自动重启","正在调查","2025 年 6 月 25 日","Canary 27881","aka.ms/AAwtbwa","未修复"
"LG413","2. 用户反馈问题","“辅助功能” 快速设置中出现 “电动交通工具” 错误翻译","正在调查","2025 年 6 月 25 日","Canary 27881","aka.ms/AAwtbwl","未修复"
"LG424","2. 用户反馈问题","“设置”>“鼠标” 菜单中 “主鼠标按钮” 的选项翻译有误","正在调查","2025 年 7 月 19 日","Canary 27902","aka.ms/AAx2o1o","未修复"
"LG427","2. 用户反馈问题","任务管理器 “性能” 页面中的选项卡无法对齐","正在调查","2025 年 7 月 19 日","Canary 27902","aka.ms/AAx0xzj","未修复"
"LG429","2. 用户反馈问题","电脑无法正常关机","正在调查","2025 年 7 月 19 日","Canary 27891","aka.ms/AAx2o1u","未修复"
"LG448","2. 用户反馈问题","[Copilot+ 电脑] “回顾” 功能无法正常工作","正在调查","2025 年 8 月 24 日","Canary 27928","aka.ms/AAxlcug","未修复"
"LG449","2. 用户反馈问题","搜索栏打开时，切换输入法会导致任务栏图标溢出","正在调查","2025 年 8 月 24 日","Canary 27928","aka.ms/AAxljuq","未修复"
"LG451","2. 用户反馈问题","“更新并关机” 选项无法正常工作","正在处理","2025 年 8 月 24 日","ALL","aka.ms/AAxogk4","未修复"
"LG457","2. 用户反馈问题","Microsoft Visio 应用窗口冻结 / 无响应","正在处理","2025 年 9 月 2 日","Canary 27934","aka.ms/AAxoh9o","未修复"
"LG458","2. 用户反馈问题","使用 Word 应用时电脑卡死","正在调查","2025 年 9 月 2 日","Canary 27934","aka.ms/AAxqsce","未修复"
"LG460","2. 用户反馈问题","“电池限制” 功能在 Surface UEFI 中消失","正在调查","2025 年 9 月 2 日","Canary 27934","aka.ms/AAxqzz0","未修复"
"LG462","2. 用户反馈问题","使用 Windows 图形捕获 API 的应用无法正常工作","正在调查","2025 年 9 月 2 日","Canary 27934","aka.ms/AAxqsck","未修复"
"LG463","2. 用户反馈问题","WinGet 在 PowerShell 和 CMD 中无法识别","正在调查","2025 年 9 月 2 日","Canary 27934","aka.ms/AAulrb4","未修复"
"LG464","2. 用户反馈问题","每次登录 Windows 时，都会自动创建一个系统还原点","正在调查","2025 年 9 月 2 日","Canary 27934","aka.ms/AAxr7jj","未修复"
"LG466","2. 用户反馈问题","无法关闭 Xbox 应用中的 “显示其他游戏库” 设置","正在处理","2025 年 9 月 5 日","ALL","aka.ms/AAxu39x","未修复"
"LG469","2. 用户反馈问题","dao360.dll 崩溃问题未完全修复","正在处理","2025 年 9 月 5 日","Canary 27928","aka.ms/AAxuayr","未修复"
"LG470","2. 用户反馈问题","在虚拟机中安装 Canary 版本时出现 0x17E 绿屏","正在处理","2025 年 9 月 5 日","Canary 27934","aka.ms/AAxu3a9","未修复"
"LG472","2. 用户反馈问题","“动态锁” 功能频繁激活蓝牙控制器，阻止电脑进入低功耗状态","正在调查","2025 年 9 月 8 日","Canary 27934","aka.ms/AAxuefp","未修复"
"LG473","2. 用户反馈问题","HDR 功能无法正常工作","正在调查","2025 年 9 月 8 日","Canary 27934","aka.ms/AAxu6nk","未修复"
"LG474","2. 用户反馈问题","运行 netsh.exe 时事件查看器会记录 Change-Monitor 错误","正在调查","2025 年 9 月 8 日","Canary 27934","aka.ms/AAxuefr","未修复"
"LG476","2. 用户反馈问题","“位置” 选项未经用户许可自动开启","正在调查","2025 年 9 月 8 日","Canary 27934","aka.ms/AAxueg3","未修复"
"LG277","3. 搁置 (未做出更改)","右键文件时，删除按钮的鼠标悬停提示为 “删除 (删除)”","搁置","2025 年 1 月 29 日","Canary 27764","aka.ms/AAu4457","未修复"
"LG279","3. 搁置 (未做出更改)","在反馈中心提交的反馈有状态更新或官方回复时无法收到通知","搁置","2025 年 1 月 29 日","ALL","aka.ms/AAu3v9h","未修复"
"LG281","3. 搁置 (未做出更改)","使用 ms-search: 链接时任务栏搜索框消失","搁置","2025 年 1 月 29 日","Canary 27774","aka.ms/AAu42tm","未修复"
"LG286","3. 搁置 (未做出更改)","Microsoft Store 宣传视频中的 “投放到设备” 被译为 “强制转换为设备”","搁置","2025 年 2 月 1 日","ALL","aka.ms/AAu5r06","未修复"
"LG347","3. 搁置 (未做出更改)","满足条件后在反馈中心无法获得成就徽章","搁置","2025 年 5 月 1 日","ALL","aka.ms/AAw0kh1","未修复"
"LG357","3. 搁置 (未做出更改)","截图工具无法截取搜索界面、上下文菜单等 UI","搁置","2025 年 5 月 10 日","ALL","aka.ms/AAw7f38","未修复"
"LG361","3. 搁置 (未做出更改)","Microsoft Store 不显示较早的应用更新记录","搁置","2025 年 5 月 15 日","ALL","aka.ms/AAw8czh","未修复"
"LG379","3. 搁置 (未做出更改)","Microsoft Store 最小化时，无法右键任务栏图标将其关闭","搁置","2025 年 5 月 26 日","ALL","aka.ms/AAwd8s4","未修复"
"LG381","3. 搁置 (未做出更改)","玩 PUBG 游戏时电脑自动重启","搁置","2025 年 5 月 26 日","Canary 27863","aka.ms/AAwd8az","未修复"
"LG384","3. 搁置 (未做出更改)","将背景设置为 “Windows 聚焦” 后自动恢复为 “图片”","搁置","2025 年 5 月 26 日","ALL","aka.ms/AAwe72g","未修复"
"LG386","3. 搁置 (未做出更改)","已提交的反馈在 “我的反馈” 中随机消失","搁置","2025 年 6 月 2 日","ALL","aka.ms/AAw9m7w","未修复"
"LG391","3. 搁置 (未做出更改)","开始菜单的动画效果异常","搁置","2025 年 6 月 4 日","Canary 27868","aka.ms/AAwi4xm","未修复"
"LG395","3. 搁置 (未做出更改)","在 “设置” 菜单中搜索 “高级网络设置” 时没有结果","搁置","2025 年 6 月 11 日","Canary 27871","aka.ms/AAwndix","未修复"
"LG396","3. 搁置 (未做出更改)","截图工具 “颜色选取器” 功能的顶栏无法完整显示文字","搁置","2025 年 6 月 11 日","ALL","aka.ms/AAwi7nq","未修复"
"LG252","4. 归档 (已做出更改)","组策略编辑器和服务管理器 UI 错误","已修复","2024 年 12 月 20 日","Canary 27764","aka.ms/AAty56l","Canary 27938"
"LG437","4. 归档 (已做出更改)","登录界面中 “Microsoft 账户密码” 选项不显示图标","已修复","2025 年 8 月 5 日","Canary 27913","aka.ms/AAxhokm","Canary 27938"
"LG438","4. 归档 (已做出更改)","进入安全模式时电脑绿屏","已修复","2025 年 8 月 5 日","Canary 27913","aka.ms/AAxbeyf","Canary 27934"
"LG445","4. 归档 (已做出更改)","深色模式下文件资源管理器中的颜色不正确","已修复","2025 年 8 月 16 日","Canary 27924",,"Canary 27938"
"LG446","4. 归档 (已做出更改)","在 “运行” (WIN + R) 中启动 CMD 时，出现的是控制台主机而非 Windows 终端","已修复","2025 年 8 月 24 日","Canary 27928","aka.ms/AAxogk0","Canary 27934"
"LG447","4. 归档 (已做出更改)","DWM 崩溃 (黑屏 / 闪烁) 次数增加","已修复","2025 年 8 月 24 日","Canary 27928",,"Canary 27934"
"LG450","4. 归档 (已做出更改)","关闭工作室效果后，控制中心仍显示其开启","已修复","2025 年 8 月 24 日","Canary 27928","aka.ms/AAxoo4i","Canary 27938"
"LG452","4. 归档 (已做出更改)","Windows 搜索无法正常工作","已修复","2025 年 8 月 24 日","Canary 27928","aka.ms/AAxogjt","Canary 27934"
"LG453","4. 归档 (已做出更改)","使用 “将当前用户设置复制到......” 选项时，设置菜单崩溃","已修复","2025 年 8 月 24 日","Canary 27928","aka.ms/AAxogjz","Canary 27938"
"LG454","4. 归档 (已做出更改)","使用 ISO 安装 Canary 27924 的过程中，无法使用 “讲述人” 功能","已修复","2025 年 8 月 24 日","Canary 27924","aka.ms/AAxovrt","Canary 27934"
"LG455","4. 归档 (已做出更改)","文件资源管理器窗口随机死锁","已修复","2025 年 8 月 24 日","Canary 27928","aka.ms/AAxovru","Canary 27934"
"LG456","4. 归档 (已做出更改)","“重置此电脑” 功能无法正常使用","已修复","2025 年 9 月 2 日","Canary 27934",,"Canary 27938"
"LG459","4. 归档 (已做出更改)","点击开始菜单时有 1 - 2 秒延迟","已修复","2025 年 9 月 2 日","Canary 27934","aka.ms/AAxr7jf","Canary 27938"
"LG461","4. 归档 (已做出更改)","启动记事本应用时，会在输入法列表添加一个键盘","已修复","2025 年 9 月 2 日","Canary 27934","aka.ms/AAxr7j8","Canary 27938"
"LG465","4. 归档 (已做出更改)","任务栏应用窗口预览发生错位","已修复","2025 年 9 月 5 日","Canary 27934","aka.ms/AAxtvks","Canary 27938"
"LG467","4. 归档 (已做出更改)","使用 “wt” 启动 Windows 终端时出现显示异常","已修复","2025 年 9 月 5 日","Canary 27934","aka.ms/AAxtvkx","Canary 27938"
"LG468","4. 归档 (已做出更改)","更新 Canary 27934 版本后出现 “不满足最低系统要求” 提示","已修复","2025 年 9 月 5 日","Canary 27934","aka.ms/AAxuaym","Canary 27938"
"LG471","4. 归档 (已做出更改)","“更新并关机” 选项被错误地翻译为 “更新和关闭”","已修复","2025 年 9 月 8 日","ALL","aka.ms/AAxtyzd","ALL"
"LG475","4. 归档 (已做出更改)","更新 Canary 27934 版本后 Windows 激活丢失","已修复","2025 年 9 月 8 日","Canary 27934","aka.ms/AAxtyzv","Canary 27938"
